ticker,date,entry_time,exit_time,entry_clock,entry_price,exit_price,result,return,volume_ratio
GSIT,2026-05-07,2026-05-07 13:45:00+00:00,2026-05-07 16:15:00+00:00,13:45,8.260000228881836,8.079999923706055,LOSS,-0.021791803896856317,1.220665297977115
GSIT,2026-05-08,2026-05-08 13:35:00+00:00,2026-05-08 13:55:00+00:00,13:35,7.605000019073486,7.90500020980835,WIN,0.03944775673668074,1.8002222913613402
HIMX,2026-03-05,2026-03-05 18:35:00+00:00,2026-03-05 20:55:00+00:00,18:35,7.510000228881836,7.679999828338623,WIN,0.022636430662545847,1.5551606090305483
HIMX,2026-03-12,2026-03-12 13:35:00+00:00,2026-03-12 13:40:00+00:00,13:35,11.470000267028809,11.90999984741211,WIN,0.038360904109837335,6.045047793014151
HIMX,2026-03-13,2026-03-13 15:30:00+00:00,2026-03-13 15:40:00+00:00,15:30,10.34000015258789,10.130000114440918,LOSS,-0.020309481145840597,5.782236164395881
HIMX,2026-03-16,2026-03-16 13:35:00+00:00,2026-03-16 13:45:00+00:00,13:35,9.609999656677246,9.289999961853027,LOSS,-0.033298616676003284,2.017130234870169
HIMX,2026-03-17,2026-03-17 15:50:00+00:00,2026-03-17 19:20:00+00:00,15:50,9.225000381469727,9.03499984741211,LOSS,-0.020596263002793103,5.96716329678653
HIMX,2026-03-20,2026-03-20 13:40:00+00:00,2026-03-20 14:10:00+00:00,13:40,8.914199829101562,8.680000305175781,LOSS,-0.02627263561685105,1.8345923785632297
HIMX,2026-03-26,2026-03-26 16:40:00+00:00,2026-03-26 17:50:00+00:00,16:40,8.710000038146973,8.520000457763672,LOSS,-0.021813958616666396,1.3677612962529062
HIMX,2026-03-30,2026-03-30 13:45:00+00:00,2026-03-30 14:20:00+00:00,13:45,7.8094000816345215,7.630000114440918,LOSS,-0.022972310973732923,1.2272761862268997
HIMX,2026-03-31,2026-03-31 14:50:00+00:00,2026-03-31 16:40:00+00:00,14:50,7.53000020980835,7.800000190734863,WIN,0.03585657017310835,1.8107031995524794
HIMX,2026-04-07,2026-04-07 15:05:00+00:00,2026-04-07 16:00:00+00:00,15:05,8.390000343322754,8.619999885559082,WIN,0.027413531921887824,3.544594648942547
HIMX,2026-04-27,2026-04-27 13:40:00+00:00,2026-04-27 14:35:00+00:00,13:40,11.609999656677246,11.364500045776367,LOSS,-0.021145531279984576,1.2904013132118546
